offenseTeam,Drive,Kicker_Pts,TwoPointConv,Week,gameid,CompletePass_rolling5,Drive_rolling5,ExPointBad_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,TwoPointGood_rolling5,Week_rolling5,Yards.Gained_rolling5,gameid_rolling5,FG_range_per_drive,RZ_per_drive,DEF_Drive,DEF_Kicker_Pts,DEF_Week,DEF_gameid,DEF_CompletePass_rolling5,DEF_Drive_rolling5,DEF_ExPointBad_rolling5,DEF_ExPointGood_rolling5,DEF_FG_30_rolling5,DEF_FG_40_rolling5,DEF_FG_50_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalBad_rolling5,DEF_FieldGoalGood_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_Punt_rolling5,DEF_QB Kneel_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_TwoPointConv_rolling5,DEF_TwoPointGood_rolling5,DEF_Week_rolling5,DEF_Yards.Gained_rolling5,DEF_gameid_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,defenseTeam,Season
IND-2009102505,20,5,0,6,2009102505,0,20,0,4,1,0,0,8,0,1,10,8,31,3,0,5,4,0,0,3,490,2009097766,0.4,0.25,20.0,5.0,6.0,2009102505.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,11.0,8.0,30.0,4.0,1.0,4.0,4.0,0.0,0.0,4.0,454.0,2009099706.0,0.36363636363636365,0.18181818181818182,STL,2009
KC-2009102503,26,5,0,6,2009102503,0,25,0,1,0,0,0,9,0,1,16,7,15,7,0,5,1,0,0,4,380,2009099705,0.36,0.2,26.0,5.0,6.0,2009102503.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,12.0,8.0,26.0,4.0,1.0,2.0,3.0,0.0,0.0,3.0,488.0,2009097908.0,0.38095238095238093,0.09523809523809523,SD,2009
MIA-2009102510,31,10,0,6,2009102510,0,21,0,3,1,0,0,8,0,1,11,9,30,4,0,4,3,0,0,3,479,2009097786,0.38095238095238093,0.19047619047619047,31.0,10.0,6.0,2009102510.0,0.0,26.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,1.0,17.0,6.0,25.0,6.0,0.0,6.0,3.0,0.0,0.0,3.0,485.0,2009097887.0,0.4230769230769231,0.23076923076923078,NO,2009
MIN-2009102504,23,5,0,6,2009102504,0,22,0,3,0,0,0,10,0,1,13,9,32,4,0,4,4,0,0,4,502,2009099723,0.45454545454545453,0.18181818181818182,23.0,5.0,6.0,2009102504.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,17.0,6.0,20.0,5.0,0.0,3.0,2.0,0.0,0.0,4.0,456.0,2009099705.0,0.4,0.15,PIT,2009
NE-2009102506,27,4,0,6,2009102506,0,22,0,3,1,0,0,8,0,1,13,10,32,3,2,3,4,0,0,4,506,2009099707,0.36363636363636365,0.13636363636363635,27.0,4.0,6.0,2009102506.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,7.0,26.0,4.0,1.0,2.0,3.0,0.0,0.0,4.0,426.0,2009099706.0,0.34782608695652173,0.08695652173913043,TB,2009
NO-2009102510,29,14,0,6,2009102510,0,25,0,3,1,0,0,9,0,1,11,8,34,4,1,4,4,0,0,3,520,2009097887,0.36,0.16,29.0,14.0,6.0,2009102510.0,0.0,20.0,0.0,2.0,1.0,1.0,0.0,8.0,0.0,2.0,13.0,11.0,26.0,3.0,0.0,4.0,3.0,0.0,0.0,3.0,471.0,2009097786.0,0.4,0.2,MIA,2009
NYG-2009102511,29,5,0,6,2009102511,0,24,0,3,1,0,0,9,0,1,15,10,27,4,0,4,3,0,0,4,485,2009099706,0.375,0.16666666666666666,29.0,5.0,6.0,2009102511.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,17.0,6.0,20.0,5.0,0.0,7.0,2.0,0.0,0.0,3.0,456.0,2009098029.0,0.44,0.28,ARI,2009
NYJ-2009102508,22,11,0,6,2009102508,0,25,0,2,1,0,0,9,0,1,14,8,26,5,0,5,3,0,0,4,414,2009099727,0.36,0.2,22.0,11.0,6.0,2009102508.0,0.0,24.0,0.0,3.0,2.0,1.0,0.0,8.0,0.0,2.0,12.0,13.0,28.0,4.0,1.0,4.0,3.0,0.0,0.0,4.0,434.0,2009099707.0,0.3333333333333333,0.16666666666666666,OAK,2009
OAK-2009102508,21,0,0,6,2009102508,0,24,0,0,0,0,0,11,0,1,12,4,5,6,0,7,0,0,0,4,329,2009099707,0.4583333333333333,0.2916666666666667,21.0,0.0,6.0,2009102508.0,0.0,24.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,14.0,6.0,14.0,5.0,0.0,4.0,1.0,0.0,0.0,4.0,434.0,2009099727.0,0.4166666666666667,0.16666666666666666,NYJ,2009
PHI-2009102600,26,10,0,6,2009102600,0,25,0,2,0,1,0,9,0,2,15,11,24,5,1,4,2,0,0,3,449,2009098045,0.36,0.16,26.0,10.0,6.0,2009102600.0,0.0,23.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,2.0,12.0,10.0,16.0,6.0,1.0,4.0,1.0,0.0,0.0,4.0,357.0,2009099723.0,0.34782608695652173,0.17391304347826086,WAS,2009
PIT-2009102504,21,7,0,6,2009102504,0,20,0,3,1,0,0,8,0,1,10,8,28,3,1,3,3,0,0,4,526,2009099705,0.4,0.15,21.0,7.0,6.0,2009102504.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,11.0,6.0,19.0,5.0,0.0,5.0,2.0,0.0,0.0,4.0,516.0,2009099723.0,0.4090909090909091,0.22727272727272727,MIN,2009
SD-2009102503,27,16,0,6,2009102503,0,21,0,2,2,0,0,8,0,2,16,13,24,3,0,3,2,0,0,3,500,2009097908,0.38095238095238093,0.14285714285714285,27.0,16.0,6.0,2009102503.0,0.0,25.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,2.0,13.0,11.0,24.0,4.0,1.0,4.0,2.0,0.0,0.0,4.0,496.0,2009099705.0,0.36,0.16,KC,2009
SF-2009102502,21,3,0,6,2009102502,0,24,0,2,0,0,0,10,0,1,13,6,18,6,0,5,2,0,0,3,424,2009097747,0.4166666666666667,0.20833333333333334,21.0,3.0,6.0,2009102502.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,14.0,6.0,20.0,6.0,1.0,5.0,2.0,0.0,0.0,4.0,482.0,2009099703.0,0.4583333333333333,0.20833333333333334,HOU,2009
STL-2009102505,21,7,0,6,2009102505,0,21,0,0,0,0,0,10,0,1,12,7,14,5,0,5,1,0,0,4,479,2009099706,0.47619047619047616,0.23809523809523808,21.0,7.0,6.0,2009102505.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,15.0,9.0,14.0,4.0,0.0,4.0,1.0,0.0,0.0,3.0,442.0,2009097766.0,0.42857142857142855,0.19047619047619047,IND,2009
TB-2009102506,26,1,0,6,2009102506,0,22,0,1,0,0,0,10,0,0,15,4,12,5,0,5,1,0,0,4,359,2009099706,0.45454545454545453,0.22727272727272727,26.0,1.0,6.0,2009102506.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,4.0,12.0,5.0,0.0,5.0,1.0,0.0,0.0,4.0,428.0,2009099707.0,0.45454545454545453,0.22727272727272727,NE,2009
WAS-2009102600,25,6,0,6,2009102600,0,23,0,1,0,0,0,9,0,1,12,5,15,5,0,4,1,0,0,4,403,2009099723,0.391304347826087,0.17391304347826086,25.0,6.0,6.0,2009102600.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,13.0,5.0,22.0,6.0,0.0,6.0,2.0,0.0,0.0,3.0,452.0,2009098045.0,0.4166666666666667,0.25,PHI,2009
ARI-2009110110,25,3,0,7,2009110110,0,26,0,2,0,0,0,9,0,0,16,5,21,6,0,5,2,0,0,4,469,2009101650,0.34615384615384615,0.19230769230769232,25.0,3.0,7.0,2009110110.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,11.0,6.0,19.0,5.0,1.0,5.0,2.0,0.0,0.0,4.0,396.0,2009101665.0,0.391304347826087,0.21739130434782608,CAR,2009
ATL-2009110200,24,17,0,7,2009110200,0,22,0,3,0,0,0,9,0,0,15,7,29,4,0,4,4,0,0,4,494,2009101666,0.4090909090909091,0.18181818181818182,24.0,17.0,7.0,2009110200.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,18.0,8.0,26.0,5.0,0.0,5.0,3.0,0.0,0.0,4.0,478.0,2009101526.0,0.4,0.2,NO,2009
BAL-2009110100,21,13,0,7,2009110100,0,21,0,2,1,0,0,8,0,1,11,7,25,4,0,4,3,0,0,4,505,2009101221,0.38095238095238093,0.19047619047619047,21.0,13.0,7.0,2009110100.0,0.0,21.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,12.0,11.0,16.0,4.0,0.0,4.0,1.0,0.0,0.0,4.0,415.0,2009101246.0,0.42857142857142855,0.19047619047619047,DEN,2009
BUF-2009110101,22,4,0,7,2009110101,0,25,0,1,1,0,0,9,0,1,13,7,13,6,0,4,1,0,0,5,379,2009103185,0.36,0.16,22.0,4.0,7.0,2009110101.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,13.0,5.0,15.0,6.0,0.0,5.0,1.0,0.0,0.0,5.0,479.0,2009103182.0,0.4166666666666667,0.20833333333333334,HOU,2009
CAR-2009110110,26,9,0,7,2009110110,0,23,0,2,0,0,0,10,0,0,10,6,19,5,0,5,2,0,0,4,433,2009101665,0.43478260869565216,0.21739130434782608,26.0,9.0,7.0,2009110110.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,1.0,15.0,6.0,21.0,6.0,0.0,7.0,2.0,0.0,0.0,4.0,438.0,2009101650.0,0.44,0.28,ARI,2009
CHI-2009110102,27,11,0,7,2009110102,0,23,0,2,1,0,0,8,0,1,12,8,24,4,0,1,2,0,0,4,435,2009101504,0.34782608695652173,0.043478260869565216,27.0,11.0,7.0,2009110102.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,14.0,8.0,21.0,5.0,1.0,6.0,2.0,0.0,0.0,5.0,496.0,2009103182.0,0.4,0.24,CLE,2009
CLE-2009110102,26,0,0,7,2009110102,0,24,0,0,1,0,0,9,0,1,17,3,13,6,0,4,1,0,0,5,367,2009103182,0.375,0.16666666666666666,26.0,0.0,7.0,2009110102.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,13.0,8.0,24.0,3.0,0.0,5.0,3.0,0.0,0.0,4.0,500.0,2009101504.0,0.391304347826087,0.21739130434782608,CHI,2009
DAL-2009110103,23,12,0,7,2009110103,0,23,0,2,1,1,0,9,0,1,14,10,23,4,1,5,2,0,0,4,492,2009101385,0.391304347826087,0.21739130434782608,23.0,12.0,7.0,2009110103.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,11.0,8.0,24.0,4.0,0.0,4.0,3.0,0.0,0.0,4.0,431.0,2009101227.0,0.4090909090909091,0.18181818181818182,SEA,2009
DEN-2009110100,22,1,0,7,2009110100,0,22,0,2,1,0,0,9,0,1,12,9,20,5,0,4,2,0,0,4,447,2009101246,0.4090909090909091,0.18181818181818182,22.0,1.0,7.0,2009110100.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,12.0,7.0,19.0,5.0,0.0,5.0,2.0,0.0,0.0,4.0,434.0,2009101221.0,0.45454545454545453,0.22727272727272727,BAL,2009
DET-2009110104,20,0,1,7,2009110104,0,21,0,1,0,0,0,10,0,1,17,5,13,5,0,6,1,0,0,4,440,2009101222,0.47619047619047616,0.2857142857142857,20.0,0.0,7.0,2009110104.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,5.0,24.0,4.0,0.0,4.0,3.0,0.0,0.0,5.0,437.0,2009103185.0,0.42857142857142855,0.19047619047619047,STL,2009
GB-2009110105,27,13,1,7,2009110105,0,22,0,2,1,0,0,8,0,2,10,11,27,3,1,5,3,0,0,4,552,2009101522,0.36363636363636365,0.22727272727272727,27.0,13.0,7.0,2009110105.0,0.0,22.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,13.0,7.0,21.0,4.0,0.0,5.0,2.0,0.0,0.0,5.0,550.0,2009103203.0,0.4090909090909091,0.22727272727272727,MIN,2009
HOU-2009110101,23,12,1,7,2009110101,0,25,0,3,1,0,0,10,0,1,12,9,27,4,2,3,3,0,0,5,493,2009103182,0.4,0.12,23.0,12.0,7.0,2009110101.0,0.0,24.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,14.0,9.0,17.0,5.0,1.0,5.0,1.0,0.0,0.0,5.0,442.0,2009103185.0,0.4166666666666667,0.20833333333333334,BUF,2009
IND-2009110106,26,13,1,7,2009110106,0,22,0,3,1,0,0,9,0,1,12,9,29,4,0,5,3,0,0,4,499,2009101368,0.4090909090909091,0.22727272727272727,26.0,13.0,7.0,2009110106.0,0.0,24.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,1.0,14.0,11.0,26.0,6.0,0.0,5.0,3.0,0.0,0.0,4.0,483.0,2009101366.0,0.4166666666666667,0.20833333333333334,SF,2009
JAC-2009110109,22,1,0,7,2009110109,0,22,0,2,0,0,0,10,0,1,14,9,24,5,1,5,3,0,0,4,512,2009101225,0.45454545454545453,0.22727272727272727,22.0,1.0,7.0,2009110109.0,0.0,25.0,0.0,4.0,1.0,0.0,0.0,8.0,0.0,1.0,11.0,10.0,32.0,4.0,1.0,3.0,4.0,0.0,0.0,4.0,510.0,2009101229.0,0.32,0.12,TEN,2009
MIA-2009110107,27,6,1,7,2009110107,0,23,0,3,1,0,0,9,0,1,12,7,30,5,0,5,3,0,0,4,431,2009101387,0.391304347826087,0.21739130434782608,27.0,6.0,7.0,2009110107.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,12.0,6.0,16.0,5.0,1.0,5.0,1.0,0.0,0.0,5.0,403.0,2009103207.0,0.375,0.20833333333333334,NYJ,2009
MIN-2009110105,26,9,0,7,2009110105,0,22,0,3,0,0,0,9,0,1,11,8,33,4,0,3,4,0,0,5,497,2009103203,0.4090909090909091,0.13636363636363635,26.0,9.0,7.0,2009110105.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,5.0,18.0,4.0,0.0,3.0,2.0,0.0,0.0,4.0,406.0,2009101522.0,0.36363636363636365,0.13636363636363635,GB,2009
NO-2009110200,25,8,0,7,2009110200,0,25,0,3,1,0,0,10,0,1,11,8,33,3,1,5,4,0,0,4,525,2009101526,0.4,0.2,25.0,8.0,7.0,2009110200.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,16.0,9.0,23.0,3.0,1.0,4.0,2.0,0.0,0.0,4.0,479.0,2009101666.0,0.4090909090909091,0.18181818181818182,ATL,2009
NYG-2009110111,24,10,0,7,2009110111,0,25,0,3,1,0,0,9,0,1,16,10,26,4,0,4,3,0,0,5,507,2009103187,0.36,0.16,24.0,10.0,7.0,2009110111.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,5.0,17.0,6.0,0.0,5.0,2.0,0.0,0.0,4.0,462.0,2009101666.0,0.4583333333333333,0.20833333333333334,PHI,2009
NYJ-2009110107,26,9,3,7,2009110107,0,23,0,2,1,0,0,10,0,1,15,9,27,5,0,5,3,0,0,5,441,2009103207,0.43478260869565216,0.21739130434782608,26.0,9.0,7.0,2009110107.0,0.0,23.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,2.0,15.0,11.0,27.0,4.0,0.0,4.0,3.0,0.0,0.0,4.0,480.0,2009101387.0,0.391304347826087,0.17391304347826086,MIA,2009
OAK-2009110108,19,12,0,7,2009110108,0,24,0,0,0,0,0,11,0,1,12,5,8,6,0,6,0,0,0,5,346,2009103186,0.4583333333333333,0.25,19.0,12.0,7.0,2009110108.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,12.0,9.0,23.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,464.0,2009101527.0,0.38095238095238093,0.09523809523809523,SD,2009
PHI-2009110111,23,10,0,7,2009110111,0,24,0,3,0,1,0,8,0,2,12,11,27,5,1,4,3,0,0,4,423,2009101666,0.3333333333333333,0.16666666666666666,23.0,10.0,7.0,2009110111.0,0.0,25.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,5.0,28.0,5.0,0.0,4.0,3.0,0.0,0.0,5.0,450.0,2009103187.0,0.36,0.16,NYG,2009
SD-2009110108,20,6,0,7,2009110108,0,20,0,2,1,0,0,8,0,2,14,12,23,3,1,3,2,0,0,4,460,2009101527,0.4,0.15,20.0,6.0,7.0,2009110108.0,0.0,24.0,0.0,3.0,1.0,1.0,0.0,9.0,0.0,2.0,12.0,12.0,28.0,4.0,1.0,4.0,3.0,0.0,0.0,5.0,437.0,2009103186.0,0.375,0.16666666666666666,OAK,2009
SEA-2009110103,24,6,0,7,2009110103,0,23,0,1,1,1,0,9,0,1,16,9,19,4,0,6,2,0,0,4,417,2009101227,0.391304347826087,0.2608695652173913,24.0,6.0,7.0,2009110103.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,5.0,21.0,6.0,0.0,7.0,2.0,0.0,0.0,4.0,458.0,2009101385.0,0.45454545454545453,0.3181818181818182,DAL,2009
SF-2009110106,25,2,0,7,2009110106,0,24,0,2,0,0,0,10,0,0,14,4,16,6,0,5,2,0,0,4,419,2009101366,0.4166666666666667,0.20833333333333334,25.0,2.0,7.0,2009110106.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,16.0,6.0,12.0,5.0,0.0,4.0,1.0,0.0,0.0,4.0,428.0,2009101368.0,0.45454545454545453,0.18181818181818182,IND,2009
STL-2009110104,21,6,0,7,2009110104,0,21,0,0,0,0,0,9,0,1,13,6,14,5,0,5,1,0,0,5,448,2009103185,0.42857142857142855,0.23809523809523808,21.0,6.0,7.0,2009110104.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,1.0,11.0,8.0,28.0,4.0,1.0,3.0,3.0,0.0,0.0,4.0,481.0,2009101222.0,0.3333333333333333,0.14285714285714285,DET,2009
TEN-2009110109,23,14,0,7,2009110109,0,25,0,1,0,1,0,11,0,1,15,6,14,5,1,5,1,0,0,4,414,2009101229,0.44,0.2,23.0,14.0,7.0,2009110109.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,11.0,8.0,23.0,4.0,1.0,4.0,2.0,0.0,0.0,4.0,463.0,2009101225.0,0.4090909090909091,0.18181818181818182,JAC,2009
ARI-2009110801,23,12,0,8,2009110801,0,25,0,3,0,0,0,9,0,1,14,6,28,5,0,5,3,0,0,6,484,2009105268,0.36,0.2,23.0,12.0,8.0,2009110801.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,12.0,6.0,29.0,4.0,0.0,5.0,3.0,0.0,0.0,5.0,511.0,2009105123.0,0.391304347826087,0.21739130434782608,CHI,2009
ATL-2009110800,18,6,0,8,2009110800,0,22,0,3,0,0,0,8,0,0,14,7,31,4,1,3,4,0,0,6,499,2009105285,0.36363636363636365,0.13636363636363635,18.0,6.0,8.0,2009110800.0,0.0,23.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,2.0,10.0,10.0,17.0,5.0,2.0,3.0,1.0,0.0,0.0,5.0,366.0,2009103343.0,0.30434782608695654,0.13043478260869565,WAS,2009
BAL-2009110802,23,4,0,8,2009110802,0,21,0,2,0,0,0,9,0,0,12,6,19,5,0,4,2,0,0,5,460,2009104842,0.42857142857142855,0.19047619047619047,23.0,4.0,8.0,2009110802.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,14.0,4.0,16.0,5.0,0.0,3.0,2.0,0.0,0.0,5.0,450.0,2009103320.0,0.43478260869565216,0.13043478260869565,CIN,2009
CAR-2009110807,22,8,0,8,2009110807,0,23,0,2,1,0,0,9,0,1,11,7,22,4,0,4,2,0,0,6,432,2009105266,0.391304347826087,0.17391304347826086,22.0,8.0,8.0,2009110807.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,17.0,9.0,30.0,4.0,0.0,4.0,3.0,0.0,0.0,5.0,493.0,2009105146.0,0.4,0.16,NO,2009
CHI-2009110801,24,7,0,8,2009110801,0,23,0,2,1,0,0,8,0,1,14,7,23,4,0,2,2,0,0,5,474,2009105123,0.34782608695652173,0.08695652173913043,24.0,7.0,8.0,2009110801.0,0.0,25.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,16.0,6.0,19.0,6.0,0.0,6.0,2.0,0.0,0.0,6.0,459.0,2009105268.0,0.44,0.24,ARI,2009
CIN-2009110802,22,5,0,8,2009110802,0,23,0,2,1,0,0,10,0,1,13,8,23,5,0,5,3,0,0,5,496,2009103320,0.43478260869565216,0.21739130434782608,22.0,5.0,8.0,2009110802.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,13.0,7.0,22.0,5.0,0.0,6.0,2.0,0.0,0.0,5.0,442.0,2009104842.0,0.45454545454545453,0.2727272727272727,BAL,2009
